"_id","_labels","party_movement_betweenness","all_betweenness","country","all_movement_betweenness","title","influence","active","name","community","party_community","betweenness","all_party_betweenness","total","europarty","established","seats","votes","ideology","active_movement_betweenness","_start","_end","_type"
"269",":Movement","0","0","Bulgaria","0","bulgarian_national_union___new_democracy","FascismBulgarian nationalism","Yes","Bulgarian National Union - New Democracy","","","","","","","","","","","0",,,
"270",":Movement","0","0","Bulgaria","0","bulgarian_national_socialist_workers_party","Nazism","No","Bulgarian National Socialist Workers Party","","","","","","","","","","","",,,
"271",":Movement","0","0","Bulgaria","0","national_social_movement","Nazism","No","National Social Movement","","","","","","","","","","","",,,
"272",":Movement","0","262.0230281854892","Romania","147.07535235146693","noua_dreapt?","Romanian fascism","Yes","Noua Dreaptă","","","","","","","","","","","40.833333333333336",,,
"273",":Movement","0","28.54840686274509","Romania","16.88382352941177","romanian_front","Romanian fascism","No","Romanian Front","","","","","","","","","","","",,,
"274",":Movement","0","34.268268924058404","Russia","17.15311740890688","barkashov's_guards","Neo-Nazism","Yes","Barkashov's Guards","","","","","","","","","","","6.999999999999999",,,
"275",":Movement","0","26.6989898989899","Russia","17.333333333333332","russian_radical_fascism","?","?","Russian Radical Fascism","","","","","","","","","","","",,,
"276",":Movement","0","0","Russia","0","white_legion_88","Neo-Nazism","?","White Legion 88","","","","","","","","","","","",,,
"277",":Movement","0","0","Russia","0","national_socialist_society_(natsional_sotsialisticheskoye_obshchestvo_nso_?a??o?a?_co??a?????ec?oe_????????_hco)","Neo-Nazism","Yes","National Socialist Society (Natsional-sotsialisticheskoye obshchestvo, NSO, нaциoнaл-coциaлстичecкoe общество, HCO)","","","","","","","","","","","0",,,
"278",":Movement","0","0","Serbia","0","ota?astveni_pokret_obraz","Clerical fascism","Yes","Otačastveni pokret Obraz","","","","","","","","","","","0",,,
"279",":Movement","0","0.21507352941176472","Slovakia, Czechoslovakia, Austria-Hungary","0.21715686274509804","slovak_people's_party","Clerical fascism","No","Slovak People's Party","","","","","","","","","","","",,,
"280",":Movement","0","0","Spain","0","bases_aut?nomas","Neo-Nazism/National Anarchism","?","Bases Autónomas","","","","","","","","","","","",,,
"281",":Movement","0","0","Spain","0","c?rculo_espa?ol_de_amigos_de_europa_(cedade_""spanish_circle_of_friends_of_europe"")","Neo-Nazi","No","Círculo Español de Amigos de Europa (CEDADE, ""Spanish Circle of Friends of Europe"")","","","","","","","","","","","",,,
"282",":Movement","0","0","Spain","0","espa?a_2000","Patriotic, Neo-Nazi","Yes","España 2000","","","","","","","","","","","0",,,
"283",":Movement","0","0","Spain","0","falange_espa?ola","Falangism","Yes","Falange Española","","","","","","","","","","","0",,,
"284",":Movement","0","0.21507352941176472","Sweden","0.21715686274509804","clerical_people's_party","Clerical fascism","No","Clerical People's Party","","","","","","","","","","","",,,
"285",":Movement","0","0","Sweden","0","swedish_socialist_party","Fascism/Nazism","No","Swedish Socialist Party","","","","","","","","","","","",,,
"286",":Movement","0","0","Sweden","0","national_socialist_workers'_party_(swedish:_nationalsocialistiska_arbetarpartiet)","Nazism","No","National Socialist Workers' Party (Swedish: Nationalsocialistiska Arbetarpartiet)","","","","","","","","","","","",,,
"287",":Movement","0","0","Sweden","0","national_socialist_bloc","Nazism","No","National Socialist Bloc","","","","","","","","","","","",,,
"288",":Movement","0","24.00499979552611","Sweden","5.661565452091768","nordic_realm_party","Neo-Nazi","Yes","Nordic Realm Party","","","","","","","","","","","6.999999999999999",,,
"289",":Movement","0","0","Sweden","0","white_aryan_resistance_(swedish:_vitt_ariskt_motst?nd)","Neo-Nazi","No","White Aryan Resistance (Swedish: Vitt Ariskt Motstånd)","","","","","","","","","","","",,,
"290",":Movement","0","0","Sweden","0","national_alliance","Neo-Nazi","Yes","National Alliance","","","","","","","","","","","0",,,
"291",":Movement","0","0.21507352941176472","Bulgaria","0.21715686274509804","union_of_bulgarian_national_legions","Independent","No","Union of Bulgarian National Legions","","","","","","","","","","","",,,
"292",":Movement","0","0","Bulgaria","0","zveno","Independent","No","Zveno","","","","","","","","","","","",,,
"293",":Movement","0","0.21507352941176472","Bulgaria","0.21715686274509804","ratniks","Nazism","No","Ratniks","","","","","","","","","","","",,,
"294",":Movement","0","0","Croatia","0","nova_hrvatska_desnica","National-Revolutionary","Yes","Nova Hrvatska Desnica","","","","","","","","","","","0",,,
"295",":Movement","0","522.2150735294117","Croatia","0.21715686274509804","usta?e","Nazism / Italian Fascism","No","Ustaše","","","","","","","","","","","",,,
"296",":Movement","0","0","Czechoslovakia","0","national_fascist_community_(nof)","Fascism","No","National Fascist Community (NOF)","","","","","","","","","","","",,,
"297",":Movement","0","0","Czechoslovakia","0","party_of_national_unity_(snj)","Far-right nationalism","No","Party of National Unity (SNJ)","","","","","","","","","","","",,,
"298",":Movement","0","0.21507352941176472","Czechoslovakia","0.21715686274509804","vlajka","Fascism","No","Vlajka","","","","","","","","","","","",,,
"299",":Movement","0","0","Czechoslovakia","0","sudeten_german_party_(sdp)","Nazism","No","Sudeten German Party (SdP)","","","","","","","","","","","",,,
"300",":Movement","0","0","Denmark","0","national_socialist_workers'_party_of_denmark_(dnsap)","Nazism","?","National Socialist Workers' Party of Denmark (DNSAP)","","","","","","","","","","","",,,
"301",":Movement","0","0","Denmark","0","national_socialist_movement_of_denmark_(dnsb)","Nazism","Yes","National Socialist Movement of Denmark (DNSB)","","","","","","","","","","","0",,,
"302",":Movement","0","0","Finland","0","lapua_movement","Independent","No","Lapua Movement","","","","","","","","","","","",,,
"303",":Movement","0","0","Finland","0","patriotic_people's_movement_(ikl)","Independent","No","Patriotic People's Movement (IKL)","","","","","","","","","","","",,,
"304",":Movement","0","0","France","0","groupe_charles_martel","Racist","No","Groupe Charles Martel","","","","","","","","","","","",,,
"305",":Movement","0","0.21507352941176472","France","0.21715686274509804","la_cagoule","Integralist","Yes","La Cagoule","","","","","","","","","","","0",,,
"306",":Movement","0","0.21507352941176472","France","0.21715686274509804","faisceau","Independent","No","Faisceau","","","","","","","","","","","",,,
"307",":Party","0","2676.6000000000004","Hungary","","fidesz","","","Fidesz","33","33","412","412","199","EPP","1988","134","2637436","Hungarian nationalism , national conservatism, right-wing populism","",,,
"308",":Party","0","175","Armenia","","republican_party_of_armenia","","","Republican Party of Armenia","17","17","37","37","105","EPP","1990","58","771247","Armenian nationalism , Republicanism , National conservatism (self-proclaimed) Provisions of RPA Program, Republican Party of Armenia, 2008. , Big tent , Syncretic","",,,
"309",":Party","0","0","Macedonia","","vmro_dpmne","","","VMRO-DPMNE","33","33","0","0","123","EPP","1990","51","481615","Macedonian nationalism , Christian democracy , [[National conservatism]]","",,,
